neid,filename,filesize,status,date
1203624894,OMAG调整装量.<mark>mp4</mark>,7.0 MB,转码完成,2021-01-09 17:47:001
1170985422,4、New Milk S-26生产线视频<mark>20160503.mp4</mark>,384.4 MB,转码完成,2021-01-09 17:47:001
1204245447,发泰展示视频.<mark>mp4</mark>,395.7 MB,转码完成,2021-01-09 17:47:001
1207321596,Bosch Rexroth helps integrate Cama's Triaflex delta <mark>robots.mp4</mark>,36.7 MB,转码完成,2021-01-09 17:47:001
1170986433,理罐机（新）.<mark>mp4</mark>,92.2 MB,转码完成,2021-01-09 17:47:001
1203198909,韩国亚南10列机设备视频-山东欣生然现场20161202 (6).<mark>mp4</mark>,335.9 KB,转码完成,2021-01-09 17:47:001
1309023756,邯郸现场珐玛珈转向进二次计数机<mark>20190815.mp4</mark>,2.2 MB,转码完成,2021-01-09 17:47:001
2519730736,转向机转盘配合角度调整.<mark>mp4</mark>,53.6 MB,转码完成,2021-01-09 17:47:001
1203626934,THEM Snapsil宣传片.<mark>mp4</mark>,9.5 MB,转码完成,2021-01-09 17:47:001
1203198906,韩国亚南10列机设备视频-山东欣生然现场20161202 (5).<mark>mp4</mark>,325.0 KB,转码完成,2021-01-09 17:47:001
1203198903,韩国亚南10列机设备视频-山东欣生然现场20161202 (2).<mark>mp4</mark>,325.6 KB,转码完成,2021-01-09 17:47:001
1405089717,<mark>WeChat_20190926231949.mp4</mark>,6.0 MB,转码完成,2021-01-09 17:47:001
1203736497,Solpac10列stick主机.<mark>mp4</mark>,30.4 MB,转码完成,2021-01-09 17:47:001
1204258764,皇普-2017.4药机展现场展示视频2017.4.20 (1).<mark>mp4</mark>,3.0 MB,转码完成,2021-01-09 17:47:001
1203599283,Inever stick宣传片（ferias INEVER stickpack.wmv）.<mark>mp4</mark>,5.7 MB,转码完成,2021-01-09 17:47:001
1405088688,<mark>WeChat_20190926231908.mp4</mark>,6.1 MB,转码完成,2021-01-09 17:47:001
1204388826,汉顿计量盒双列机.<mark>mp4</mark>,26.3 MB,转码完成,2021-01-09 17:47:001
1206513657,Can-machinery-听装线-充填封口录像.<mark>mp4</mark>,6.4 MB,转码完成,2021-01-09 17:47:001
1179672129,Unette宣传视频20160903 (1).<mark>mp4</mark>,8.4 MB,转码完成,2021-01-09 17:47:001
1405088685,<mark>WeChat_20190926231828.mp4</mark>,6.1 MB,转码完成,2021-01-09 17:47:001
1257380577,一号园视频20181231(雪景)(1).<mark>mp4</mark>,456.7 MB,转码完成,2021-01-09 17:47:001
1129346886,004、烟台新时代-三对一stick整线视频（到装箱）<mark>20180711.mp4</mark>,773.8 MB,转码完成,2021-01-09 17:47:001
1340471292,053、提升投料机动画<mark>20190122.mp4</mark>,14.5 MB,转码完成,2021-01-09 17:47:002
