neid,filename,filesize,status,date
1203600309,Marchesini-装盒连续＋说明书连续动作.<mark>wmv</mark>,42.9 MB,转码完成,2021-03-27 20:25:037
1203605112,MediSealRoche-P1600.<mark>wmv</mark>,129.2 MB,转码完成,2021-03-27 20:25:037
1129379253,006、提升机.<mark>wmv</mark>,80.9 MB,转码完成,2021-03-27 20:25:037
1206090663,CAM推手和移动式物料输送.<mark>wmv</mark>,10.1 MB,转码完成,2021-03-27 20:25:037
1203628284,sanko-武田制药小袋机整列机构.<mark>wmv</mark>,49.9 MB,转码完成,2021-03-27 20:25:037
1170985767,雅士利-听装线整线.<mark>wmv</mark>,123.5 MB,转码完成,2021-03-27 20:25:037
1206816642,PLF-听装线-单片裹包.<mark>wmv</mark>,40.9 MB,转码完成,2021-03-27 20:25:037
1206816711,PLF-听装线-空罐卸垛机.<mark>wmv</mark>,17.8 MB,转码完成,2021-03-27 20:25:037
1206816777,PLF-听装线-自动压塑盖（平盖）.<mark>wmv</mark>,49.6 MB,转码完成,2021-03-27 20:25:037
1170987654,08-1罐身清理机.<mark>wmv</mark>,739.7 KB,转码完成,2021-03-27 20:25:037
1203589809,HANDOOK-方便面小袋装中袋运行录像.<mark>wmv</mark>,9.5 MB,转码完成,2021-03-27 20:25:037
1203579954,J-02031 Bright Future - Bosch FAT Movie.<mark>wmv</mark>,9.4 MB,转码完成,2021-03-27 20:25:037
1206123315,kliklok装盒机.<mark>wmv</mark>,6.4 MB,转码完成,2021-03-27 20:25:037
1129359681,018、大规格袋翻转整理视频.<mark>wmv</mark>,19.4 MB,转码完成,2021-03-27 20:25:037
1206816573,PLF-听装线-空罐输送.<mark>wmv</mark>,3.6 MB,转码完成,2021-03-27 20:25:037
1206816588,PLF-听装线-铁盖输送.<mark>wmv</mark>,5.8 MB,转码完成,2021-03-27 20:25:037
1206816591,PLF-听装线-自动灌装.<mark>wmv</mark>,3.3 MB,转码完成,2021-03-27 20:25:037
1206816570,PLF-听装线-罐身清理机.<mark>wmv</mark>,4.7 MB,转码完成,2021-03-27 20:25:037
1203589833,HANDOOK-片剂双铝包装-六列机.<mark>wmv</mark>,8.8 MB,转码完成,2021-03-27 20:25:037
1206506751,Albro400罐高速听装线High Speed Line 2.<mark>wmv</mark>,104.2 MB,转码完成,2021-03-27 20:25:037
1204195536,韩国千世+四边封装盒运行录像.<mark>wmv</mark>,19.8 MB,转码完成,2021-03-27 20:25:037
1129350351,010、机器人整理视频.<mark>wmv</mark>,64.8 MB,转码完成,2021-03-27 20:25:037
1170988560,12-1Accuracy spoon dispensing machine投小勺机（Joyea）.<mark>wmv</mark>,1.9 MB,转码完成,2021-03-27 20:25:037
1206135891,2006_Pick & Load System.<mark>wmv</mark>,25.2 MB,转码完成,2021-03-27 20:25:037
